OPE004;22/10/2024 13:35;22/10/2024 15:51;USER003;COMPRA02;1;-102;ERROR
OPE004;22/10/2024 13:07;22/10/2024 15:02;USER001;COMPRA01;2;-200;ERROR
OPE004;22/10/2024 13:47;22/10/2024 15:58;USER003;COMPRA02;3;-32;FINALIZADO
OPE004;22/10/2024 13:48;22/10/2024 15:20;USER001;COMPRA01;4;163;CORRECTO
OPE004;22/10/2024 13:25;22/10/2024 15:06;USER002;COMPRA02;5;-85;ERROR
OPE004;22/10/2024 13:48;22/10/2024 15:57;USER003;COMPRA01;6;-30;FINALIZADO
OPE004;22/10/2024 13:01;22/10/2024 15:44;USER002;COMPRA02;7;-161;CORRECTO
OPE004;22/10/2024 13:32;22/10/2024 15:12;USER001;COMPRA01;8;183;CORRECTO
OPE004;22/10/2024 13:25;22/10/2024 15:51;USER002;COMPRA02;9;-206;FINALIZADO
OPE004;22/10/2024 13:49;22/10/2024 15:11;USER003;COMPRA01;10;78;FINALIZADO
