OPE001;24/04/2024 13:12;24/04/2024 15:21;USER002;COMPRA02;1;-111;FINALIZADO
OPE001;24/04/2024 13:01;24/04/2024 15:31;USER001;COMPRA01;2;-95;ERROR
OPE001;24/04/2024 13:47;24/04/2024 15:47;USER003;COMPRA02;3;-8;FINALIZADO
OPE001;24/04/2024 13:11;24/04/2024 15:16;USER003;COMPRA01;4;-58;CORRECTO
OPE001;24/04/2024 13:29;24/04/2024 15:27;USER003;COMPRA02;5;119;CORRECTO
OPE001;24/04/2024 13:04;24/04/2024 15:13;USER002;COMPRA01;6;-119;CORRECTO
OPE001;24/04/2024 13:36;24/04/2024 15:20;USER002;COMPRA02;7;11;FINALIZADO
OPE001;24/04/2024 13:35;24/04/2024 15:27;USER003;COMPRA01;8;83;CORRECTO
OPE001;24/04/2024 13:07;24/04/2024 15:05;USER003;COMPRA02;9;167;ERROR
OPE001;24/04/2024 13:54;24/04/2024 15:53;USER002;COMPRA01;10;-77;ERROR
