OPE001;19/11/2024 13:53;19/11/2024 15:30;USER003;COMPRA02;1;-180;FINALIZADO
OPE001;19/11/2024 13:53;19/11/2024 15:27;USER002;COMPRA01;2;121;CORRECTO
OPE001;19/11/2024 13:28;19/11/2024 15:33;USER002;COMPRA02;3;-243;ERROR
OPE001;19/11/2024 13:27;19/11/2024 15:24;USER003;COMPRA01;4;81;FINALIZADO
OPE001;19/11/2024 13:32;19/11/2024 15:16;USER002;COMPRA02;5;-217;FINALIZADO
OPE001;19/11/2024 13:04;19/11/2024 15:55;USER001;COMPRA01;6;11;ERROR
OPE001;19/11/2024 13:17;19/11/2024 15:18;USER001;COMPRA02;7;225;FINALIZADO
OPE001;19/11/2024 13:22;19/11/2024 15:33;USER002;COMPRA01;8;120;FINALIZADO
OPE001;19/11/2024 13:05;19/11/2024 15:57;USER001;COMPRA02;9;101;CORRECTO
OPE001;19/11/2024 13:43;19/11/2024 15:50;USER003;COMPRA01;10;48;CORRECTO
