OPE002;02/03/2024 13:25;02/03/2024 15:19;USER001;COMPRA02;1;120;CORRECTO
OPE002;02/03/2024 13:47;02/03/2024 15:14;USER001;COMPRA01;2;-212;ERROR
OPE002;02/03/2024 13:17;02/03/2024 15:08;USER001;COMPRA02;3;-7;CORRECTO
OPE002;02/03/2024 13:13;02/03/2024 15:01;USER003;COMPRA01;4;-203;CORRECTO
OPE002;02/03/2024 13:27;02/03/2024 15:30;USER002;COMPRA02;5;-201;CORRECTO
OPE002;02/03/2024 13:48;02/03/2024 15:17;USER001;COMPRA01;6;-143;ERROR
OPE002;02/03/2024 13:38;02/03/2024 15:25;USER002;COMPRA02;7;-118;CORRECTO
OPE002;02/03/2024 13:28;02/03/2024 15:24;USER001;COMPRA01;8;234;FINALIZADO
OPE002;02/03/2024 13:29;02/03/2024 15:02;USER001;COMPRA02;9;-71;CORRECTO
OPE002;02/03/2024 13:27;02/03/2024 15:40;USER001;COMPRA01;10;45;ERROR
