OPE001;12/02/2024 13:44;12/02/2024 15:11;USER003;COMPRA02;1;107;FINALIZADO
OPE001;12/02/2024 13:24;12/02/2024 15:23;USER003;COMPRA01;2;-161;CORRECTO
OPE001;12/02/2024 13:19;12/02/2024 15:33;USER002;COMPRA02;3;-32;CORRECTO
OPE001;12/02/2024 13:38;12/02/2024 15:06;USER002;COMPRA01;4;-226;FINALIZADO
OPE001;12/02/2024 13:59;12/02/2024 15:56;USER001;COMPRA02;5;-29;ERROR
OPE001;12/02/2024 13:40;12/02/2024 15:44;USER002;COMPRA01;6;-42;ERROR
OPE001;12/02/2024 13:07;12/02/2024 15:03;USER002;COMPRA02;7;-70;CORRECTO
OPE001;12/02/2024 13:29;12/02/2024 15:08;USER002;COMPRA01;8;193;ERROR
OPE001;12/02/2024 13:36;12/02/2024 15:34;USER002;COMPRA02;9;48;CORRECTO
OPE001;12/02/2024 13:27;12/02/2024 15:05;USER001;COMPRA01;10;174;FINALIZADO
